timestamp_ns,cpu_usage_usec,memory_current_bytes,memory_peak_bytes,pids_current,load1,load5,load15,disk_avail_bytes
1786809474435278835,51719394160,39090966528,44949463040,470,19.09,12.47,5.74,181614497792
1786809476523122870,51742856641,39144452096,44949463040,470,19.41,12.65,5.83,181611646976
1786809478563438002,51764342627,39057981440,44949463040,470,19.41,12.65,5.83,181611175936
1786809480624489442,51787827602,39036452864,44949463040,470,20.02,12.88,5.94,181609402368
1786809482670879347,51809265382,39077318656,44949463040,470,20.02,12.88,5.94,181607714816
1786809484724859931,51832992577,39088410624,44949463040,470,20.02,12.88,5.94,181605548032
1786809486769146892,51854088580,39091662848,44949463040,470,19.93,12.99,6.01,181603979264
1786809488840397446,51876319270,39086956544,44949463040,470,19.93,12.99,6.01,181603119104
1786809490882670903,51899617900,39086878720,44949463040,470,21.70,13.47,6.21,181601923072
1786809492955994576,51922229984,39170220032,44949463040,470,21.70,13.47,6.21,181600972800
1786809494999934365,51945025575,39138811904,44949463040,470,21.70,13.47,6.21,181599469568
1786809497057468878,51967106791,39116140544,44949463040,470,20.52,13.36,6.21,181598003200
1786809499107573940,51989126403,39146651648,44949463040,470,20.52,13.36,6.21,181596774400
1786809501167428767,52012315681,39116136448,44949463040,470,21.68,13.72,6.37,181596278784
1786809503268169849,52034471009,39213391872,44949463040,470,21.68,13.72,6.37,181594402816
1786809505325808348,52056867492,39280668672,44949463040,470,21.68,13.72,6.37,181592481792
1786809507379465960,52080080355,39194075136,44949463040,470,20.99,13.71,6.40,181590675456
1786809509469437249,52102003461,39250640896,44949463040,470,20.99,13.71,6.40,181587705856
1786809511559812246,52125049755,39217668096,44949463040,470,19.87,13.60,6.41,181587030016
1786809513631449883,52148157872,39200882688,44949463040,470,19.87,13.60,6.41,181585711104
1786809515689610995,52171159659,39232897024,44949463040,470,20.92,13.92,6.55,181584134144
1786809517744227351,52192911740,39194726400,44949463040,470,20.92,13.92,6.55,181582077952
1786809519798038668,52215289219,39247798272,44949463040,470,20.92,13.92,6.55,181581254656
1786809521843703385,52237535028,39228940288,44949463040,470,20.12,13.87,6.57,181580214272
1786809523886616488,52260009497,39226392576,44949463040,470,20.12,13.87,6.57,181579083776
1786809525949317795,52282759416,39211921408,44949463040,470,20.68,14.09,6.68,181578289152
1786809528046808330,52305457593,39243214848,44949463040,470,20.68,14.09,6.68,181575786496
1786809530094888935,52328369576,39223517184,44949463040,470,20.68,14.09,6.68,181575077888
1786809532151454443,52349998066,39250477056,44949463040,470,20.38,14.14,6.74,181573300224
1786809534200773163,52372701962,39226302464,44949463040,473,20.38,14.14,6.74,181571018752
1786809536244328550,52393965116,39215644672,44949463040,471,19.71,14.10,6.77,181569007616
1786809538321730740,52416664966,39197741056,44949463040,471,19.71,14.10,6.77,181567041536
1786809540370580218,52438266838,39203524608,44949463040,471,19.71,14.10,6.77,181566173184
1786809542420502604,52460768394,39215013888,44949463040,471,18.93,14.03,6.78,181564755968
1786809544465388214,52482187331,39260958720,44949463040,471,18.93,14.03,6.78,181562523648
1786809546519049103,52504573841,39252254720,44949463040,471,18.70,14.07,6.83,181560975360
1786809548569376903,52526844476,39298994176,44949463040,471,18.70,14.07,6.83,181558870016
1786809550625442103,52549186484,39241355264,44949463040,471,18.24,14.05,6.87,181557100544
1786809552668921373,52571111218,39298887680,44949463040,471,18.24,14.05,6.87,181555347456
1786809554720170760,52593468929,39306518528,44949463040,471,18.24,14.05,6.87,181554135040
1786809556774613185,52616551294,39248773120,44949463040,471,18.14,14.10,6.92,181552574464
1786809558812690655,52637744734,39242809344,44949463040,471,18.14,14.10,6.92,181550624768
1786809560857845247,52659402683,39328739328,44949463040,471,17.97,14.13,6.97,181548384256
1786809562913447156,52682529260,39300468736,44949463040,471,17.97,14.13,6.97,181546000384
1786809564986923036,52703746522,39281201152,44949463040,471,17.97,14.13,6.97,181545132032
1786809567035428788,52726154138,39321083904,44949463040,471,17.33,14.06,6.99,181542686720
1786809569079463820,52747196089,39299575808,44949463040,471,17.33,14.06,6.99,181539717120
1786809571132405748,52770052059,39322357760,44949463040,471,17.38,14.12,7.05,181537837056
1786809573234494218,52792156794,39303348224,44949463040,471,17.38,14.12,7.05,181535965184
1786809575338319546,52814880543,39331205120,44949463040,471,17.38,14.12,7.05,181534048256
1786809577383443675,52836437469,39350304768,44949463040,471,16.79,14.06,7.06,181531860992
1786809579428517917,52858857632,39336947712,44949463040,471,16.79,14.06,7.06,181529485312
1786809581474084702,52880751780,39370604544,44949463040,471,16.09,13.96,7.07,181528653824
1786809583523008175,52901375298,39365656576,44949463040,471,16.09,13.96,7.07,181526032384
1786809585571744030,52924033815,39442808832,44949463040,471,16.09,13.96,7.07,181525229568
1786809587618552584,52945424504,39416532992,44949463040,471,16.72,14.12,7.16,181522456576
1786809589657877834,52967256571,39408603136,44949463040,471,16.72,14.12,7.16,181521178624
1786809591718333466,52988453103,39371624448,44949463040,471,16.34,14.09,7.19,181518778368
1786809593766702096,53010015272,39398010880,44949463040,471,16.34,14.09,7.19,181516316672
1786809595813940013,53030760489,39418798080,44949463040,471,15.84,14.02,7.20,181513842688
1786809597864593168,53051546541,39399690240,44949463040,471,15.84,14.02,7.20,181511827456
1786809599907520923,53073762950,39354429440,44949463040,471,15.84,14.02,7.20,181510217728
1786809601952160387,53095163756,39384416256,44949463040,471,15.61,14.00,7.23,181508521984
1786809604011761038,53116294091,39377186816,44949463040,471,15.61,14.00,7.23,181505687552
1786809606081362074,53137833465,39408214016,44949463040,471,17.40,14.40,7.40,181503369216
1786809608130730832,53158691839,39435341824,44949463040,471,17.40,14.40,7.40,181500817408
1786809610172201725,53180496455,39428849664,44949463040,471,17.40,14.40,7.40,181498687488
1786809612226517461,53202546076,39426465792,44949463040,471,16.81,14.33,7.41,181497114624
1786809614275260429,53222988688,39395069952,44949463040,471,16.81,14.33,7.41,181493780480
1786809616323993404,53245106768,39418380288,44949463040,471,17.54,14.52,7.51,181493092352
1786809618374318714,53266481715,39409631232,44949463040,471,17.54,14.52,7.51,181489594368
1786809620435916025,53287778286,39417921536,44949463040,471,17.54,14.52,7.51,181487398912
1786809622535130321,53310864672,39458816000,44949463040,471,16.94,14.45,7.53,181486112768
1786809624596443920,53331683945,39405277184,44949463040,471,16.94,14.45,7.53,181484093440
1786809626695251934,53354588761,39425806336,44949463040,471,17.27,14.55,7.60,181482217472
1786809628758318455,53376415513,39411679232,44949463040,471,17.27,14.55,7.60,181479677952
1786809630820640181,53398972281,39421726720,44949463040,471,17.00,14.55,7.63,181478215680
1786809632881558900,53420352954,39416700928,44949463040,471,17.00,14.55,7.63,181475647488
1786809634931745478,53441388339,39461109760,44949463040,471,17.00,14.55,7.63,181473034240
1786809636968534444,53463543593,39541149696,44949463040,471,16.92,14.57,7.68,181471109120
1786809639015803350,53485902627,39523463168,44949463040,471,16.92,14.57,7.68,181470314496
1786809641100661911,53509307117,39511195648,44949463040,471,16.69,14.56,7.71,181468844032
1786809643145048982,53531512647,39527448576,44949463040,471,16.69,14.56,7.71,181468135424
1786809645208746660,53553960153,39603494912,44949463040,471,16.69,14.56,7.71,181465333760
1786809647255052636,53577104291,39562956800,44949463040,471,16.23,14.50,7.73,181464596480
1786809649306778072,53597933973,39579455488,44949463040,471,16.23,14.50,7.73,181462450176
1786809651350930475,53621313492,39594336256,44949463040,471,16.21,14.53,7.78,181460484096
1786809653403399813,53643398105,39619166208,44949463040,471,16.21,14.53,7.78,181459312640
1786809655452935734,53666470119,39660445696,44949463040,471,16.21,14.53,7.78,181457924096
1786809657505819635,53690108218,39616266240,44949463040,471,15.56,14.42,7.78,181457240064
1786809659557740778,53712783984,39620182016,44949463040,471,15.56,14.42,7.78,181455073280
1786809661634713769,53734748982,39624867840,44949463040,471,15.75,14.48,7.83,181452230656
1786809663677933580,53757991048,39611424768,44949463040,471,15.75,14.48,7.83,181452111872
1786809665728840951,53780108579,39621259264,44949463040,471,16.25,14.60,7.91,181450125312
1786809667767527477,53802267362,39589953536,44949463040,471,16.25,14.60,7.91,181449297920
1786809669818461680,53824452671,39632216064,44949463040,471,16.25,14.60,7.91,181447290880
1786809671861483570,53847265820,39675170816,44949463040,471,16.39,14.66,7.96,181445160960
1786809673907181154,53868998275,39655370752,44949463040,471,16.39,14.66,7.96,181444096000
1786809675949894875,53892374110,39667527680,44949463040,471,16.44,14.70,8.01,181443117056
1786809677998126221,53914839812,39615377408,44949463040,471,16.44,14.70,8.01,181442228224
1786809680041731130,53937082620,39640227840,44949463040,471,16.44,14.70,8.01,181440241664
1786809682098282173,53960829821,39656591360,44949463040,471,15.60,14.55,8.00,181438840832
1786809684154202854,53983385061,39620136960,44949463040,471,15.60,14.55,8.00,181437886464
1786809686203575330,54005130435,39640342528,44949463040,471,17.48,14.96,8.17,181436633088
1786809688261866315,54028559910,39705903104,44949463040,471,17.48,14.96,8.17,181434572800
1786809690309044901,54051786573,39647379456,44949463040,471,17.48,14.96,8.17,181433946112
1786809692359327257,54073270906,39639969792,44949463040,471,18.32,15.18,8.27,181431947264
1786809694410732683,54096857693,39589859328,44949463040,471,18.32,15.18,8.27,181431967744
1786809696469321620,54119023096,39587905536,44949463040,471,18.94,15.36,8.37,181429334016
1786809698544466068,54141639065,39668264960,44949463040,471,18.94,15.36,8.37,181426520064
1786809700585347432,54162113975,39596605440,44949463040,471,18.94,15.36,8.37,181425999872
1786809702637571080,54185056473,39588966400,44949463040,471,18.30,15.28,8.38,181424840704
1786809704685072841,54208051812,39594962944,44949463040,471,18.30,15.28,8.38,181424033792
1786809706751537185,54228616789,39576129536,44949463040,471,17.48,15.16,8.38,181421764608
1786809708812946174,54250962759,39681024000,44949463040,471,17.48,15.16,8.38,181420507136
1786809710864471818,54274778473,39680544768,44949463040,471,16.96,15.09,8.40,181419483136
1786809712912542000,54296951858,39699230720,44949463040,471,16.96,15.09,8.40,181418160128
1786809714956829625,54319154938,39699116032,44949463040,471,16.96,15.09,8.40,181415997440
1786809717004640579,54342149029,39699419136,44949463040,471,16.48,15.02,8.41,181414785024
1786809719083092497,54364732142,39725895680,44949463040,471,16.48,15.02,8.41,181413605376
1786809721127488220,54387189386,39772114944,44949463040,471,17.64,15.29,8.53,181409796096
1786809723174496338,54409420981,39732568064,44949463040,471,17.64,15.29,8.53,181408952320
1786809725221897481,54433354477,39723745280,44949463040,471,17.64,15.29,8.53,181408161792
1786809727267215997,54454256092,39571603456,44949463040,471,17.27,15.25,8.56,181404008448
1786809729307308106,54476639918,39528722432,44949463040,471,17.27,15.25,8.56,181403971584
1786809731357184515,54500462298,39565586432,44949463040,471,16.61,15.15,8.56,181402316800
1786809733437185755,54523286537,39565766656,44949463040,471,16.61,15.15,8.56,181399748608
1786809735492511195,54546800218,39539245056,44949463040,471,16.61,15.15,8.56,181398982656
1786809737575787042,54569983749,39512088576,44949463040,471,17.12,15.28,8.64,181396254720
1786809739619216640,54591809418,39518781440,44949463040,471,17.12,15.28,8.64,181394604032
1786809741668097559,54615919169,39545147392,44949463040,471,17.11,15.31,8.68,181393272832
1786809743717805990,54637062618,39591190528,44949463040,471,17.11,15.31,8.68,181392236544
1786809745774020508,54660078768,39571316736,44949463040,471,18.14,15.55,8.80,181391863808
1786809747847492097,54683642357,39555141632,44949463040,471,18.14,15.55,8.80,181391110144
1786809749894722116,54706056152,39597338624,44949463040,471,18.14,15.55,8.80,181390405632
1786809751935722179,54727204531,39596314624,44949463040,471,17.49,15.46,8.80,181387915264
1786809753987414610,54751934497,39608381440,44949463040,471,17.49,15.46,8.80,181386493952
1786809756087327790,54774028273,39584268288,44949463040,471,18.73,15.75,8.93,181384630272
1786809758160939107,54796120568,39556751360,44949463040,471,18.73,15.75,8.93,181382713344
1786809760206082069,54818608378,39565942784,44949463040,471,18.73,15.75,8.93,181381570560
